OTU ID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	N1	N2	N3	N4	N5	N6	N7	N8	taxonomy
OTU_dn_2	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	18.0	25.0	22.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
KJ685888.1.1525	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	822.0	794.0	620.0	2963.0	2974.0	2891.0	0.0	0.0	0.0	1857.0	1752.0	1611.0	4.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Virgibacillus
CP015378.146768.148325	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Fictibacillus
KR029299.1.1517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	71.0	55.0	41.0	0.0	0.0	0.0	25.0	48.0	43.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Sporosarcina
CP015027.1029839.1031395	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	7.0	3.0	2.0	0.0	0.0	0.0	3.0	3.0	6.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Sporosarcina
KR088549.1.1526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Micrococcaceae; D_5__Arthrobacter; D_6__Arthrobacter sp. F7
KJ767384.1.1524	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	281.0	255.0	325.0	0.0	0.0	0.0	7.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU621383.1.1273	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	8.0	20.0	22.0	24.0	1.0	1.0	2.0	8.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus cereus
KY646001.1.1573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	4.0	7.0	136.0	153.0	103.0	0.0	0.0	2.0	110.0	127.0	160.0	4.0	3.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
LFZV01000001.3852991.3854551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	55.0	40.0	181.0	170.0	141.0	0.0	0.0	0.0	107.0	109.0	97.0	1.0	2.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ598262.1.1507	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6
JN417563.1.1533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira
KC197356.1.1334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	5.0	4.0	0.0	0.0	0.0	3.0	5.0	6.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
